GALINDO,954,"36,429"
COFFEY,955,"36,423"
ESTES,956,"36,318"
SANFORD,957,"36,312"
BURCH,958,"36,269"
MADDOX,959,"36,250"
VO,960,"36,236"
OCONNELL,961,"36,194"
VU,962,"36,179"
ANDERSEN,963,"36,150"
SPENCE,964,"36,129"
MCPHERSON,965,"36,125"
CHURCH,966,"36,072"
SCHMITT,967,"36,043"
STANTON,968,"35,997"
LEAL,969,"35,958"
CHERRY,970,"35,877"
COMPTON,971,"35,830"
DUDLEY,972,"35,781"
SIERRA,973,"35,770"
POLLARD,974,"35,749"
ALFARO,975,"35,725"
HESTER,976,"35,642"
PROCTOR,977,"35,636"
LU,978,"35,628"
HINTON,979,"35,606"
NOVAK,980,"35,461"
GOOD,981,"35,446"
MADDEN,982,"35,438"
MCCANN,983,"35,408"
TERRELL,983,"35,408"
JARVIS,985,"35,350"
DICKSON,986,"35,312"
REYNA,987,"35,291"
CANTRELL,988,"35,266"
MAYO,989,"35,228"
BRANCH,990,"35,225"
HENDRIX,991,"35,194"
ROLLINS,992,"35,132"
ROWLAND,993,"35,121"
WHITNEY,994,"35,118"
DUKE,995,"35,053"
ODOM,996,"35,020"
DAUGHERTY,997,"34,987"
